ref,title,author,lastRunTime,totalVotes
martynaplomecka/getting-started-notebook,Getting Started Notebook,MartynaPlomecka,2026-07-13 13:04:02,1489
llkh0a/aas-local-validation,AAS | Local validation,Kh0a,2026-06-13 13:58:20.027000,384
uradkr/ai-security-urad-code,AI Security URAD Code,URAD,2026-06-26 04:32:04.527000,366
dimong4/ai-agent-security,AI Agent Security,Dmitry Belan,2026-08-13 17:56:43,321
evgendvorkin/ai-agent,AI Agent,Дворкин Евгений Владимирович,2026-07-10 02:17:30.133000,255
foysalemonshanto/ai-agent-security-v15,AI Agent Security V15,FOYSAL,2026-08-04 17:40:16.763000,248
foysalemonshanto/ai-agent-security-v12,AI Agent Security V12,FOYSAL,2026-07-25 04:07:34.263000,246
pilkwang/ai-agent-replay-dense-exfiltration,AI Agent: Replay-Dense Exfiltration,Pilkwang Kim,2026-06-16 09:52:13.737000,227
canqiang/aiagsec-ea-b-0721,AIAgSec Ea B 0721,Xander,2026-07-21 06:31:44.707000,223
tetsutani/ai-agent-sec-adaptive-uniform-two-probe-recovery,AI Agent Sec Adaptive Uniform Two Probe Recovery,tetsu2131,2026-07-26 16:45:41.237000,173
yusuketogashi/ai-agent-sec-another-approach,AI Agent Sec | Another Approach 🧭,Yusuke Togashi,2026-07-19 21:31:40.777000,165
pilkwang/ai-agent-working-note, AI Agent - 📘 Working Note,Pilkwang Kim,2026-07-05 03:18:45.847000,157
pilkwang/ai-agent-v3-1-2-single-post-exfiltration,AI Agent v3.1.2 - Single-Post Exfiltration,Pilkwang Kim,2026-07-24 06:05:01.873000,153
nctuan/jed-v25,JED - v25,Nguyễn Công Tuấn,2026-07-30 03:55:44.803000,132
yusuketogashi/lb60-525-july-safe-edge-prune-tail8-upgrade,LB60.525 July Safe Edge-Prune 🛡️ | Tail8 Upgrade,Yusuke Togashi,2026-07-08 01:01:11,132
rokaiyasomapti/ai-agent-sec-another-approach-resubmission,AI Agent Sec | Another Approach (Resubmission),Rokaiya Somapti,2026-07-18 00:45:20.977000,128
pilkwang/eda-agent-security-trajectory-search,EDA: Agent Security Trajectory Search,Pilkwang Kim,2026-06-13 22:34:19,126
boristown/agi-ai-agent-security,【暗黑AGI】AI Agent Security,暗黑AGI,2026-06-21 08:24:20.167000,124
nikitagajbhiye30/ai-security-0011,AI security 0011,Nikita,2026-08-05 20:14:35.833000,123
karnakbaevarthur/multi-endpoint-severity-stacker,Multi Endpoint Severity Stacker ,Karnakbayev Artur,2026-06-16 05:28:20.557000,116
