iter	Logloss
0	0.6914707934
1	0.6898123456
2	0.6881998013
3	0.6866207924
4	0.6850725436
5	0.6835687944
6	0.6820841916
7	0.6806469384
8	0.6792437624
9	0.6778514881
10	0.6765017172
11	0.6751854193
12	0.6739003199
13	0.6726303094
14	0.6713836828
15	0.6701714776
16	0.6689896282
17	0.6678263642
18	0.6666646938
19	0.6655559954
20	0.6644620819
21	0.6633808774
22	0.6623178589
23	0.6612830024
24	0.6602787557
25	0.6592993542
26	0.6583438033
27	0.6574014564
28	0.6564904007
29	0.65559792
30	0.6547138918
31	0.6538451005
32	0.6530035582
33	0.652191159
34	0.6513660076
35	0.6505683538
36	0.6497893668
37	0.6490170758
38	0.6482677543
39	0.6475428315
40	0.6468168454
41	0.6461223104
42	0.6454166351
43	0.6447381304
44	0.6440680233
45	0.6434106176
46	0.6427644491
47	0.6421329353
48	0.6415099693
49	0.640901704
50	0.6403028557
51	0.6397224177
52	0.6391472984
53	0.6385959353
54	0.6380445054
55	0.6375044719
56	0.6369828656
57	0.6364715038
58	0.6359596917
59	0.6354566364
60	0.6349735583
61	0.634503458
62	0.6340252022
63	0.6335702508
64	0.6331163972
65	0.6326782616
66	0.6322460846
67	0.6318205575
68	0.6314089232
69	0.6310007902
70	0.6305884665
71	0.6302034898
72	0.6298179862
73	0.6294337928
74	0.6290627408
75	0.6286885318
76	0.6283252738
77	0.6279692116
78	0.6276261069
79	0.6272922468
80	0.6269489477
81	0.6266235675
82	0.626350472
83	0.6260273964
84	0.625721165
85	0.6254223223
86	0.6251282983
87	0.6248245469
88	0.6245761819
89	0.6242950838
90	0.6240103674
91	0.6237428473
92	0.623470879
93	0.6232069372
94	0.6229850917
95	0.6227184106
96	0.6224630568
97	0.622245743
98	0.6219966051
99	0.6217526487
100	0.6215199157
101	0.6213232129
102	0.6210913191
103	0.6208631471
104	0.6206736689
105	0.6204746726
106	0.6202610101
107	0.620039144
108	0.6198275953
109	0.6196472729
110	0.6194700213
111	0.6192890437
112	0.6191140891
113	0.6189172765
114	0.6187439176
115	0.6185613088
116	0.6183696162
117	0.618189092
118	0.6180076572
119	0.617845065
120	0.6176989148
121	0.6175451989
122	0.6173917984
123	0.6172434375
124	0.6170772149
125	0.6169045214
126	0.6167403087
127	0.6165954219
128	0.6164560831
129	0.6163103364
130	0.6161743425
131	0.6160147195
132	0.6158687875
133	0.6157353197
134	0.615612637
135	0.6154948322
136	0.615347808
137	0.6152083257
138	0.6150796729
139	0.6149548392
140	0.614811043
141	0.614696579
142	0.6145858659
143	0.6144633292
144	0.6143529883
145	0.6142426237
146	0.6141338681
147	0.6140082041
148	0.6138743654
149	0.6137685828
150	0.6136661682
151	0.613572928
152	0.6134685575
153	0.6133695085
154	0.613245072
155	0.6131507578
156	0.6130375487
157	0.6129461112
158	0.6128337529
159	0.6127165047
160	0.6126118605
161	0.6125103593
162	0.6124182396
163	0.6123140453
164	0.6122292225
165	0.6121347779
166	0.612046248
167	0.6119638885
168	0.6118670868
169	0.6117678966
170	0.6116788486
171	0.6115913817
172	0.6115115003
173	0.6114325809
174	0.6113521542
175	0.6112699764
176	0.6111934342
177	0.6111180011
178	0.6110436911
179	0.610964685
180	0.6108783711
181	0.6107934415
182	0.6107222346
183	0.6106488242
184	0.6105799402
185	0.6104949802
186	0.6104112313
187	0.6103331285
188	0.6102452946
189	0.6101648832
190	0.610101623
191	0.6100358987
192	0.6099714597
193	0.6098942241
194	0.6098330762
195	0.60976074
196	0.6097021733
197	0.6096453599
198	0.609572939
199	0.6094998828
200	0.6094402161
201	0.6093714557
202	0.6093046466
203	0.609246656
204	0.6091871659
205	0.609133168
206	0.6090701631
207	0.6090035481
208	0.6089483685
209	0.6088835156
210	0.6088189544
211	0.6087473017
212	0.6086980534
213	0.6086511991
214	0.608594602
215	0.6085382219
216	0.6084855181
217	0.6084296848
218	0.6083718151
219	0.6083244981
220	0.6082639573
221	0.6082184343
222	0.6081573612
223	0.6081115142
224	0.6080595599
225	0.6080083975
226	0.6079630927
227	0.6079048107
228	0.6078525613
229	0.6078111678
230	0.6077536334
231	0.6076990768
232	0.6076541928
233	0.6076044846
234	0.6075503351
235	0.6075038746
236	0.6074603553
237	0.6074140758
238	0.6073630422
239	0.6073237029
240	0.6072861082
241	0.6072431108
242	0.6071924016
243	0.6071403127
244	0.6071007604
245	0.607052849
246	0.6070115957
247	0.6069718817
248	0.6069236357
249	0.6068868436
250	0.6068476083
251	0.6068124632
252	0.606777052
253	0.6067316999
254	0.6066924421
255	0.6066456823
256	0.6066083065
257	0.6065670418
258	0.6065290526
259	0.606487718
260	0.6064537912
261	0.606417394
262	0.6063836309
263	0.6063514334
