iter	Passed	Remaining
0	129	64612
1	242	60427
2	338	56049
3	431	53532
4	512	50777
5	610	50293
6	688	48504
7	780	48023
8	868	47374
9	954	46772
10	1041	46290
11	1120	45580
12	1205	45175
13	1305	45331
14	1407	45507
15	1502	45459
16	1592	45257
17	1670	44739
18	1761	44586
19	1847	44339
20	1935	44148
21	2015	43784
22	2090	43354
23	2175	43153
24	2262	42996
25	2347	42796
26	2423	42458
27	2505	42229
28	2593	42117
29	2668	41811
30	2830	42827
31	2982	43620
32	3161	44733
33	3262	44715
34	3358	44614
35	3460	44595
36	3560	44558
37	3661	44516
38	3759	44439
39	3865	44449
40	3944	44154
41	4033	43983
42	4120	43789
43	4209	43622
44	4333	43817
45	4427	43701
46	4531	43671
47	4623	43538
48	4708	43338
49	4783	43049
50	4868	42860
51	4972	42842
52	5057	42655
53	5148	42520
54	5237	42375
55	5318	42167
56	5418	42112
57	5504	41945
58	5601	41870
59	5695	41765
60	5782	41615
61	5867	41447
62	5955	41311
63	6049	41212
64	6139	41085
65	6220	40905
66	6321	40855
67	6420	40789
68	6540	40857
69	6634	40754
70	6736	40701
71	6842	40673
72	6949	40647
73	7055	40617
74	7171	40635
75	7276	40594
76	7389	40592
77	7512	40643
78	7620	40610
79	7732	40597
80	7830	40505
81	7936	40456
82	8039	40393
83	8137	40298
84	8243	40248
85	8348	40189
86	8456	40144
87	8558	40070
88	8670	40039
89	8774	39974
90	8898	39992
91	9011	39962
92	9115	39893
93	9213	39795
94	9309	39687
95	9410	39600
96	9506	39496
97	9601	39387
98	9705	39311
99	9816	39266
100	9918	39182
101	10012	39067
102	10107	38956
103	10203	38851
104	10297	38738
105	10401	38660
106	10503	38577
107	10594	38455
108	10685	38332
109	10782	38229
110	10862	38068
111	10954	37948
112	11049	37842
113	11144	37736
114	11229	37594
115	11326	37493
116	11418	37378
117	11508	37255
118	11603	37149
119	11706	37069
120	11802	36966
121	11893	36851
122	11990	36750
123	12081	36634
124	12171	36514
125	12262	36399
126	12362	36308
127	12460	36212
128	12544	36076
129	12635	35962
130	12722	35835
131	12817	35732
132	12901	35600
133	12992	35486
134	13093	35401
135	13196	35319
136	13287	35207
137	13382	35104
138	13475	34997
139	13573	34903
140	13658	34776
141	13744	34651
142	13825	34516
143	13921	34417
144	14014	34311
145	14112	34218
146	14197	34093
147	14290	33987
148	14377	33869
149	14463	33747
150	14552	33635
151	14644	33527
152	14737	33424
153	14818	33292
154	14900	33165
155	14996	33069
156	15093	32974
157	15199	32900
158	15290	32792
159	15386	32696
160	15482	32600
161	15573	32492
162	15665	32388
163	15758	32285
164	15859	32198
165	15956	32105
166	16054	32012
167	16152	31921
168	16255	31837
169	16342	31723
170	16438	31627
171	16524	31512
172	16616	31408
173	16708	31304
174	16807	31214
175	16905	31121
176	17003	31028
177	17094	30924
178	17188	30824
179	17278	30717
180	17383	30637
181	17485	30552
182	17575	30445
183	17668	30343
184	17767	30253
185	17858	30148
186	17938	30024
187	18029	29921
188	18124	29824
189	18219	29726
190	18305	29614
191	18411	29535
192	18505	29436
193	18596	29332
194	18816	29430
195	18920	29346
196	19021	29255
197	19121	29164
198	19220	29071
199	19317	28975
200	19404	28865
201	19488	28749
202	19577	28642
203	19671	28542
204	19758	28432
205	19854	28335
206	19950	28238
207	20051	28148
208	20151	28058
209	20249	27963
210	20350	27874
211	20437	27764
212	20523	27653
213	20606	27539
214	20702	27442
215	20790	27336
216	20883	27234
217	20982	27142
218	21072	27038
219	21161	26932
220	21250	26826
221	21340	26723
222	21426	26614
223	21520	26516
224	21606	26407
225	21686	26292
226	21776	26189
227	21860	26078
228	21940	25964
229	22029	25861
230	22120	25759
231	22202	25648
232	22293	25546
233	22390	25452
234	22488	25359
235	22582	25261
236	22671	25158
237	22763	25058
238	22851	24955
239	22948	24861
240	23034	24754
241	23124	24653
242	23213	24551
243	23302	24448
244	23398	24353
245	23492	24256
246	23582	24155
247	23675	24057
248	23766	23957
249	23857	23857
250	23945	23754
251	24039	23658
252	24140	23567
253	24232	23469
254	24320	23366
255	24412	23267
256	24496	23161
257	24587	23062
258	24680	22965
259	24760	22856
260	24851	22756
261	24941	22656
262	25023	22549
263	25118	22454
264	25211	22356
265	25303	22259
266	25405	22170
267	25506	22080
268	25610	21992
269	25697	21890
270	25798	21800
271	25893	21704
272	25990	21611
273	26087	21517
274	26186	21425
275	26287	21334
276	26380	21237
277	26479	21145
278	26575	21050
279	26671	20956
280	26759	20855
281	26849	20755
282	26946	20662
283	27032	20559
284	27137	20472
285	27229	20374
286	27325	20280
287	27423	20186
288	27520	20092
289	27615	19997
290	27712	19903
291	27807	19807
292	27910	19718
293	28001	19620
294	28095	19524
295	28179	19420
296	28278	19328
297	28376	19235
298	28466	19136
299	28552	19035
300	28650	18941
301	28744	18845
302	28831	18745
303	28916	18643
304	29007	18546
305	29109	18455
306	29206	18361
307	29298	18263
308	29394	18169
309	29480	18068
310	29576	17973
311	29671	17878
312	29767	17784
313	29862	17689
314	29948	17589
315	30042	17493
316	30124	17390
317	30209	17289
318	30306	17195
319	30393	17096
320	30489	17002
321	30581	16905
322	30682	16813
323	30766	16712
324	30857	16615
325	30951	16520
326	31040	16422
327	31134	16326
328	31232	16233
329	31316	16132
330	31407	16035
331	31507	15943
332	31598	15846
333	31689	15749
334	31779	15652
335	31877	15559
336	31968	15462
337	32064	15368
338	32162	15274
339	32256	15179
340	32343	15081
341	32434	14984
342	32525	14887
343	32611	14788
344	32702	14692
345	32797	14597
346	32886	14500
347	32972	14401
348	33063	14305
349	33163	14212
350	33254	14116
351	33344	14019
352	33439	13925
353	33537	13831
354	33629	13736
355	33732	13644
356	33824	13548
357	33926	13456
358	34012	13358
359	34104	13262
360	34199	13168
361	34298	13075
362	34386	12977
363	34480	12882
364	34564	12784
365	34666	12692
366	34749	12593
367	34837	12495
368	34928	12400
369	35009	12300
370	35100	12204
371	35197	12110
372	35285	12014
373	35373	11917
374	35471	11823
375	35571	11731
376	35662	11635
377	35787	11550
378	35899	11461
379	36017	11374
380	36134	11286
381	36225	11189
382	36342	11102
383	36445	11009
384	36539	10914
385	36626	10817
386	36731	10725
387	36834	10632
388	36934	10539
389	37027	10443
390	37116	10347
391	37214	10253
392	37320	10160
393	37417	10066
394	37519	9973
395	37625	9881
396	37722	9786
397	37827	9694
398	37919	9598
399	38017	9504
400	38109	9408
401	38219	9317
402	38327	9225
403	38424	9130
404	38527	9037
405	38611	8939
406	38710	8845
407	38798	8748
408	38891	8653
409	38974	8555
410	39060	8458
411	39152	8362
412	39254	8269
413	39347	8173
414	39432	8076
415	39528	7981
416	39616	7885
417	39704	7788
418	39796	7693
419	39896	7599
420	39997	7505
421	40091	7410
422	40179	7314
423	40265	7217
424	40358	7122
425	40453	7027
426	40547	6932
427	40631	6835
428	40714	6738
429	40812	6643
430	40908	6549
431	41002	6454
432	41104	6360
433	41193	6264
434	41285	6169
435	41373	6073
436	41473	5979
437	41567	5884
438	41648	5787
439	41734	5691
440	41818	5594
441	41911	5499
442	41993	5403
443	42093	5309
444	42177	5212
445	42261	5116
446	42350	5021
447	42442	4926
448	42531	4831
449	42627	4736
450	42726	4642
451	42817	4547
452	42913	4452
453	43006	4357
454	43101	4262
455	43191	4167
456	43282	4072
457	43362	3976
458	43463	3882
459	43563	3788
460	43659	3693
461	43741	3597
462	43836	3503
463	43919	3407
464	44015	3312
465	44105	3217
466	44189	3122
467	44288	3028
468	44374	2933
469	44458	2837
470	44548	2742
471	44638	2648
472	44726	2553
473	44818	2458
474	44908	2363
475	44993	2268
476	45085	2173
477	45178	2079
478	45266	1984
479	45361	1890
480	45453	1795
481	45552	1701
482	45644	1606
483	45736	1511
484	45821	1417
485	45911	1322
486	46010	1228
487	46085	1133
488	46181	1038
489	46280	944
490	46381	850
491	46484	755
492	46576	661
493	46670	566
494	46760	472
495	46862	377
496	46957	283
497	47052	188
498	47151	94
499	47242	0
