employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
65438,Sales & Markting,region_7,Master's & above,f,sourcing,1,35,5.0,8,1,0,49,0
65141,Opperations,region_22,Bachelor's,m,other,1,30,5.0,4,0,0,60,0
7513,Sales & Markting,region_19,Bachelor's,m,sourcing,1,34,3.0,7,0,0,50,0
2542,Sales & Markting,region_23,Bachelor's,m,other,2,39,1.0,10,0,0,50,0
48945,Technoogy,region_26,Bachelor's,m,other,1,45,3.0,2,0,0,73,0
58896,Analytics,region_2,Bachelor's,m,sourcing,2,31,3.0,7,0,0,85,0
20379,Opperations,region_20,Bachelor's,f,other,1,31,3.0,5,0,0,59,0
16290,Opperations,region_34,Master's & above,m,sourcing,1,33,3.0,6,0,0,63,0
73202,Analytics,region_20,Bachelor's,m,other,1,28,4.0,5,0,0,83,0
28911,Sales & Markting,region_1,Master's & above,m,sourcing,1,32,5.0,5,1,0,54,0
29934,,region_23,,m,sourcing,1,30,,1,0,0,77,0
49017,Sales & Markting,region_7,,f,sourcing,1,35,5.0,3,1,0,50,1
60051,,region_4,Bachelor's,m,sourcing,1,49,5.0,5,1,0,49,0
38401,Technoogy,region_29,Master's & above,m,other,2,39,3.0,16,0,0,80,0
77040,R&D,region_2,Master's & above,m,sourcing,1,37,3.0,7,0,0,84,0
43931,Opperations,region_7,Bachelor's,m,other,1,37,,10,0,0,60,0
7152,Technoogy,region_2,Bachelor's,m,other,1,38,3.0,5,1,0,77,0
9403,Sales & Markting,region_31,Bachelor's,m,other,1,34,1.0,4,0,0,51,0
17436,Sales & Markting,region_31,Bachelor's,m,other,1,34,5.0,8,1,0,46,0
54461,Opperations,region_15,Bachelor's,m,other,1,37,3.0,9,0,0,59,0
12067,Procurement,region_14,Bachelor's,m,other,1,35,3.0,7,0,0,75,0
33332,Opperations,region_15,,m,sourcing,1,41,4.0,11,0,0,57,0
58789,Finance,region_11,,f,other,1,28,3.0,4,0,0,63,0
71177,Procurement,region_5,Bachelor's,m,other,1,27,,1,0,0,70,0
52057,Finance,region_22,Master's & above,m,sourcing,2,39,5.0,7,0,0,59,0
26585,Technoogy,region_22,Bachelor's,m,other,1,27,5.0,3,1,0,83,0
37749,,region_26,Bachelor's,m,other,1,31,5.0,4,1,0,68,0
2370,Technoogy,region_26,Bachelor's,m,other,1,33,4.0,4,0,0,79,0
8219,Analytics,region_5,Bachelor's,,other,1,29,5.0,3,1,0,80,0
74759,Sales & Markting,region_4,Bachelor's,m,sourcing,1,26,,1,0,0,44,0
27395,Procurement,region_15,Bachelor's,m,sourcing,1,37,5.0,10,1,0,72,0
